Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_ID,Product_Name,Category,Sub_Category,Brand,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Payment_Method,Sales_Channel,Sales_Person,Customer_Type
O000001,2026-07-13,C00179,Customer_01210,Female,20,Tamil Nadu City,Tamil Nadu,South,P0016,Headphones,Electronics,Headphones,Nike,2,1193.73,25,1790.6,1049.06,741.54,UPI,Online,Sales_08,New
O000002,2025-01-07,C01555,Customer_01651,Male,62,Chhattisgarh City,Chhattisgarh,Central,P0217,Sofa,Furniture,Sofa,Philips,5,2155.65,15,9161.51,6928.33,2233.18,Debit Card,Offline,Sales_05,New
O000003,2025-02-14,C01495,Customer_00941,Male,42,Bihar City,Bihar,East,P0041,Laptop,Electronics,Laptop,LG,1,1859.0,10,1673.1,1273.74,399.36,Net Banking,Offline,Sales_21,Returning
O000004,2025-03-23,C01752,Customer_00477,Male,42,Jharkhand City,Jharkhand,East,P0143,Sofa,Furniture,Sofa,Apple,1,3340.19,30,2338.13,1522.79,815.34,Cash,Offline,Sales_06,Returning
O000005,2025-09-08,C00335,Customer_00947,Female,35,Haryana City,Haryana,North,P0474,Sofa,Furniture,Sofa,Nike,1,3084.74,5,2930.5,2159.63,770.87,Net Banking,Online,Sales_22,Returning
O000006,2026-08-04,C01795,Customer_01471,Female,31,Maharashtra City,Maharashtra,West,P0336,Chair,Furniture,Chair,Adidas,4,1411.93,5,5365.33,4665.68,699.65,Cash,Offline,Sales_21,Returning
O000007,2026-08-21,C00818,Customer_00742,Male,26,Gujarat City,Gujarat,West,P0261,Shirt,Clothing,Shirt,HP,5,2740.99,25,10278.71,7756.37,2522.34,Cash,Online,Sales_25,New
O000008,2026-04-25,C01084,Customer_00515,Male,61,Tamil Nadu City,Tamil Nadu,South,P0370,Sofa,Furniture,Sofa,Dell,4,3022.4,15,10276.16,7024.44,3251.72,UPI,Offline,Sales_25,Returning
O000009,2025-09-27,C01991,Customer_01026,Male,50,Tamil Nadu City,Tamil Nadu,South,P0468,Jeans,Clothing,Jeans,Dell,4,115.9,25,347.7,297.82,49.88,UPI,Offline,Sales_21,New
O000010,2025-01-20,C00230,Customer_01903,Female,37,Gujarat City,Gujarat,West,P0123,Shirt,Clothing,Shirt,Ikea,5,4600.62,20,18402.48,12209.21,6193.27,UPI,Online,Sales_19,New
O000011,2026-07-17,C00339,Customer_00543,Female,31,Karnataka City,Karnataka,South,P0476,Curtains,Home,Curtains,Apple,5,3852.59,5,18299.8,14290.55,4009.25,Net Banking,Online,Sales_23,Returning
O000012,2025-08-19,C00132,Customer_00693,Male,55,Kerala City,Kerala,South,P0284,Lamp,Home,Lamp,Adidas,4,4508.11,15,15327.57,9079.31,6248.26,Credit Card,Online,Sales_01,New
O000013,2026-05-13,C00439,Customer_01105,Male,64,Maharashtra City,Maharashtra,West,P0479,Chair,Furniture,Chair,Samsung,3,447.2,5,1274.52,825.21,449.31,Net Banking,Offline,Sales_08,Returning
O000014,2025-02-25,C01380,Customer_01339,Male,21,Odisha City,Odisha,East,P0207,Chair,Furniture,Chair,Apple,4,1836.06,15,6242.6,4453.84,1788.76,Debit Card,Online,Sales_08,New
O000015,2025-03-19,C00908,Customer_01655,Male,21,Punjab City,Punjab,North,P0334,Cricket Bat,Sports,Cricket Bat,Dell,4,999.09,15,3396.91,2165.3,1231.61,Net Banking,Online,Sales_03,New
O000016,2025-01-03,C00800,Customer_00544,Female,36,Rajasthan City,Rajasthan,North,P0217,Oil,Grocery,Oil,Sony,2,4336.79,0,8673.58,5270.27,3403.31,Net Banking,Offline,Sales_05,New
O000017,2026-08-22,C00977,Customer_01030,Male,21,Madhya Pradesh City,Madhya Pradesh,Central,P0492,Chair,Furniture,Chair,Puma,5,398.69,10,1794.11,1022.66,771.45,Net Banking,Online,Sales_06,New
