Age,Tenure,MonthlyCharges,Contract,InternetService,PaymentMethod,SupportCalls,Churn
23,53,142.05,Month-to-month,Fiber optic,Mailed check,9,No
65,64,143.19,Month-to-month,Fiber optic,Credit card,3,No
58,41,89.68,Two year,Fiber optic,Mailed check,8,No
45,30,52.61,One year,Fiber optic,Bank transfer,0,No
44,0,116.11,One year,Fiber optic,Mailed check,7,Yes
71,44,106.0,Month-to-month,No,Bank transfer,10,No
23,66,133.79,Month-to-month,Fiber optic,Mailed check,4,Yes
61,10,130.77,One year,Fiber optic,Bank transfer,6,No
30,17,56.19,Month-to-month,Fiber optic,Bank transfer,8,No
23,38,95.92,One year,No,Electronic check,8,Yes
50,38,77.05,One year,Fiber optic,Bank transfer,8,Yes
78,30,140.8,Month-to-month,DSL,Bank transfer,3,No
63,10,73.16,One year,Fiber optic,Mailed check,5,Yes
65,35,28.24,Two year,Fiber optic,Mailed check,4,Yes
62,36,83.67,One year,Fiber optic,Bank transfer,5,No
66,13,49.95,Month-to-month,Fiber optic,Electronic check,3,Yes
49,44,21.39,Two year,DSL,Electronic check,1,No
25,63,138.57,Month-to-month,Fiber optic,Bank transfer,8,No
70,6,107.45,Month-to-month,No,Credit card,4,No
45,5,35.23,Month-to-month,DSL,Credit card,4,No
49,41,69.33,Month-to-month,Fiber optic,Mailed check,0,Yes
40,57,56.23,Month-to-month,Fiber optic,Credit card,0,Yes
29,7,126.12,Month-to-month,DSL,Credit card,6,No
75,68,110.57,Month-to-month,Fiber optic,Bank transfer,9,No
66,34,34.28,One year,Fiber optic,Bank transfer,7,No
57,7,20.86,Month-to-month,Fiber optic,Electronic check,6,No
42,32,126.58,One year,Fiber optic,Bank transfer,6,Yes
69,31,141.32,Month-to-month,Fiber optic,Electronic check,5,No
51,28,145.04,Two year,DSL,Credit card,7,No
45,42,35.47,Month-to-month,Fiber optic,Electronic check,4,No
45,18,70.84,Month-to-month,DSL,Electronic check,0,No
32,72,35.9,Month-to-month,Fiber optic,Credit card,0,No
23,20,141.46,Month-to-month,DSL,Electronic check,7,Yes
52,63,78.79,One year,DSL,Credit card,7,No
73,59,138.29,Month-to-month,DSL,Mailed check,2,No
21,30,79.03,One year,DSL,Electronic check,9,No
71,14,31.8,Month-to-month,Fiber optic,Mailed check,9,No
69,70,66.46,One year,Fiber optic,Bank transfer,5,No
35,41,146.29,Month-to-month,Fiber optic,Electronic check,8,No
57,24,133.95,Month-to-month,No,Credit card,6,No
28,11,86.8,Month-to-month,DSL,Electronic check,7,No
65,24,62.75,One year,DSL,Mailed check,10,No
61,47,41.32,Month-to-month,No,Electronic check,3,No
39,36,37.92,Month-to-month,Fiber optic,Credit card,3,Yes
22,4,40.24,Two year,DSL,Mailed check,4,No
78,56,89.17,Month-to-month,No,Credit card,10,No
45,23,110.95,Month-to-month,Fiber optic,Electronic check,3,Yes
73,14,58.53,Two year,DSL,Credit card,5,Yes
60,51,147.95,One year,DSL,Mailed check,3,No
66,54,80.68,Month-to-month,DSL,Mailed check,5,Yes
65,59,97.43,Month-to-month,No,Electronic check,1,No
30,0,89.68,Month-to-month,DSL,Bank transfer,10,No
40,28,120.23,Month-to-month,Fiber optic,Credit card,3,No
46,19,141.63,Month-to-month,DSL,Credit card,4,No
48,42,130.16,Month-to-month,No,Electronic check,8,Yes
20,71,86.93,Month-to-month,DSL,Mailed check,9,No
51,8,142.0,Month-to-month,DSL,Bank transfer,7,No
27,47,74.44,One year,No,Credit card,4,Yes
64,32,29.59,One year,Fiber optic,Credit card,9,No
60,33,37.25,Month-to-month,DSL,Bank transfer,5,No
75,68,143.78,Month-to-month,Fiber optic,Credit card,6,No
64,53,142.21,Month-to-month,No,Electronic check,6,Yes
40,6,138.78,Month-to-month,DSL,Bank transfer,10,Yes
77,31,117.69,Month-to-month,Fiber optic,Credit card,0,No
43,54,108.31,Month-to-month,DSL,Bank transfer,2,No
38,7,128.89,Month-to-month,No,Electronic check,8,No
74,36,77.89,Two year,Fiber optic,Electronic check,6,Yes
40,36,91.15,Two year,Fiber optic,Mailed check,4,No
22,5,136.78,Two year,Fiber optic,Bank transfer,2,No
47,69,27.38,Month-to-month,DSL,Mailed check,6,No
67,27,93.22,Month-to-month,Fiber optic,Electronic check,0,No
29,19,69.56,One year,DSL,Bank transfer,4,No
46,6,92.22,Month-to-month,Fiber optic,Electronic check,5,Yes
26,3,144.44,Month-to-month,Fiber optic,Mailed check,7,No
60,14,122.14,Month-to-month,DSL,Bank transfer,8,No
47,54,81.95,Two year,DSL,Bank transfer,7,No
38,19,108.51,One year,Fiber optic,Electronic check,7,No
32,33,93.18,Month-to-month,DSL,Bank transfer,2,No
52,48,45.63,Month-to-month,No,Mailed check,0,Yes
59,24,79.29,Month-to-month,DSL,Bank transfer,5,No
76,29,34.42,One year,DSL,Credit card,2,No
45,35,79.32,Month-to-month,DSL,Electronic check,7,No
27,66,77.12,Month-to-month,No,Bank transfer,6,Yes
69,67,110.78,Two year,Fiber optic,Electronic check,3,No
