order_id,customer_id,order_date,category,quantity,unit_price,discount,payment_method,delivery_days,satisfaction_score,gross_amount,discount_amount,total_amount,product_cost,shipping_cost,returned,return_cost,marketing_cost,profit,customer_age,customer_gender,region,customer_tenure_months
ORD_017871,CUST_00001,2024-01-30,Fashion,4,12607.88,0.31,UPI,5,4,50431.52,15633.7712,34797.7488,25645.3,128.26,0,0.0,378.14,8646.05,56,Female,East,5
ORD_005444,CUST_00001,2024-03-02,Grocery,5,7601.31,0.25,Cash,4,5,38006.55,9501.6375,28504.912500000002,13230.74,96.49,0,0.0,164.33,15013.35,56,Female,East,5
ORD_013064,CUST_00001,2024-10-20,Home,1,24517.05,0.04,Net Banking,3,1,24517.05,980.682,23536.368,10925.92,197.43,0,0.0,25.83,12387.19,56,Female,East,5
ORD_013278,CUST_00001,2025-02-16,Grocery,5,14150.85,0.3,Net Banking,2,4,70754.25,21226.274999999998,49527.975000000006,29243.11,127.34,0,0.0,387.13,19770.4,56,Female,East,5
ORD_014339,CUST_00001,2025-06-16,Fashion,3,13378.61,0.13,Cash,5,1,40135.83,5217.6579,34918.1721,19888.63,439.19,1,3775.06,363.41,10451.88,56,Female,East,5
ORD_007618,CUST_00001,2025-06-20,Home,3,4054.7,0.33,Debit Card,4,1,12164.099999999999,4014.153,8149.946999999998,4728.06,250.42,0,0.0,301.52,2869.95,56,Female,East,5
ORD_002594,CUST_00002,2025-04-04,Electronics,2,6012.59,0.25,Debit Card,1,2,12025.18,3006.295,9018.885,6273.61,434.83,0,0.0,342.91,1967.54,46,Other,Central,2
ORD_016940,CUST_00002,2025-05-13,Grocery,1,2773.34,0.17,Credit Card,6,5,2773.34,471.46780000000007,2301.8722000000002,1661.04,59.17,0,0.0,82.14,499.52,46,Other,Central,2
ORD_018426,CUST_00002,2026-01-15,Grocery,1,12678.97,0.32,Cash,1,4,12678.97,4057.2704,8621.6996,3946.62,476.26,0,0.0,144.54,4054.28,46,Other,Central,2
ORD_007316,CUST_00003,2024-10-24,Beauty,4,23949.66,0.16,UPI,7,1,95798.64,15327.7824,80470.8576,46544.6,264.84,1,14351.04,105.83,19204.55,32,Female,North,51
ORD_018104,CUST_00004,2024-02-29,Home,5,11184.26,0.18,Net Banking,8,1,55921.3,10065.834,45855.466,33520.15,363.21,0,0.0,312.58,11659.53,60,Male,West,56
ORD_010250,CUST_00004,2024-12-24,Home,1,4962.93,0.15,Net Banking,2,5,4962.93,744.4395000000001,4218.4905,1979.59,99.94,0,0.0,52.22,2086.74,60,Male,West,56
ORD_006662,CUST_00004,2025-01-14,Beauty,5,7461.79,0.02,Debit Card,7,3,37308.95,746.179,36562.771,24795.86,343.42,0,0.0,32.36,11391.13,60,Male,West,56
ORD_006566,CUST_00004,2025-12-15,Electronics,3,2748.57,0.23,UPI,5,3,8245.710000000001,1896.5133000000003,6349.1967,4163.97,109.16,0,0.0,109.82,1966.25,60,Male,West,56
ORD_018414,CUST_00004,2026-03-17,Grocery,4,23670.41,0.24,Debit Card,3,3,94681.64,22723.5936,71958.04639999999,45983.19,213.61,0,0.0,325.92,25435.33,60,Male,West,56
ORD_007591,CUST_00004,2026-03-19,Home,1,23748.79,0.02,Cash,2,4,23748.79,474.97580000000005,23273.8142,16192.01,218.67,0,0.0,399.16,6463.97,60,Male,West,56
ORD_001808,CUST_00004,2026-04-17,Electronics,5,16249.03,0.3,Cash,5,4,81245.15000000001,24373.545000000002,56871.60500000001,36818.48,463.24,0,0.0,102.26,19487.63,60,Male,West,56
ORD_003275,CUST_00005,2024-12-23,Home,2,19881.33,0.12,UPI,3,5,39762.66,4771.519200000001,34991.1408,21049.5,278.41,1,6957.57,89.42,6616.24,25,Female,Central,20
ORD_018930,CUST_00006,2025-07-07,Electronics,4,19453.51,0.04,Net Banking,3,2,77814.04,3112.5616,74701.47839999999,42142.63,65.17,0,0.0,353.17,32140.51,38,Male,East,34
ORD_005678,CUST_00006,2026-05-16,Home,2,6341.19,0.1,Cash,2,2,12682.38,1268.238,11414.142,5657.82,218.75,0,0.0,222.55,5315.02,38,Male,East,34
ORD_018128,CUST_00006,2026-06-03,Sports,5,18967.07,0.12,Net Banking,7,4,94835.35,11380.242,83455.10800000001,38941.39,489.73,1,5351.99,358.11,38313.89,38,Male,East,34
ORD_015838,CUST_00007,2024-11-23,Beauty,5,5377.62,0.34,Debit Card,2,5,26888.1,9141.954,17746.146,9911.82,433.35,0,0.0,83.33,7317.65,56,Male,West,34
ORD_009582,CUST_00007,2025-07-31,Sports,1,15593.94,0.02,UPI,5,5,15593.94,311.8788,15282.0612,9642.63,225.21,0,0.0,383.51,5030.71,56,Male,West,34
ORD_011074,CUST_00007,2025-09-19,Fashion,2,4300.57,0.25,UPI,8,3,8601.14,2150.285,6450.855,3207.68,33.66,0,0.0,236.18,2973.34,56,Male,West,34
ORD_011321,CUST_00007,2026-01-29,Sports,5,22264.87,0.06,UPI,9,2,111324.34999999999,6679.460999999999,104644.889,68669.8,56.27,1,16994.65,365.23,18558.94,56,Male,West,34
ORD_007460,CUST_00008,2024-05-12,Home,4,10302.82,0.23,UPI,7,2,41211.28,9478.5944,31732.685599999997,22433.28,471.97,0,0.0,303.57,8523.87,36,Female,East,54
ORD_019296,CUST_00008,2024-11-08,Home,4,16214.7,0.19,Cash,6,4,64858.8,12323.172,52535.628000000004,38450.25,414.84,1,3269.15,384.99,10016.4,36,Female,East,54
ORD_000098,CUST_00008,2025-01-12,Home,2,3710.42,0.01,Debit Card,3,2,7420.84,74.2084,7346.6316,3586.34,62.09,0,0.0,163.68,3534.52,36,Female,East,54
ORD_009766,CUST_00008,2025-01-24,Beauty,5,16733.47,0.33,Cash,5,4,83667.35,27610.225500000004,56057.124500000005,33250.75,393.6,0,0.0,267.39,22145.38,36,Female,East,54
ORD_002637,CUST_00008,2025-04-25,Fashion,5,7165.4,0.23,Net Banking,4,3,35827.0,8240.210000000001,27586.79,12659.54,437.66,0,0.0,103.6,14385.99,36,Female,East,54
ORD_008408,CUST_00008,2025-06-01,Fashion,3,24110.63,0.19,UPI,8,2,72331.89,13743.0591,58588.8309,27106.09,473.1,0,0.0,384.89,30624.75,36,Female,East,54
ORD_010460,CUST_00008,2025-09-08,Beauty,3,16776.01,0.14,Net Banking,1,2,50328.03,7045.9242,43282.1058,25020.96,322.47,0,0.0,325.29,17613.39,36,Female,East,54
ORD_010846,CUST_00008,2026-03-26,Home,2,22633.75,0.12,Credit Card,6,1,45267.5,5432.099999999999,39835.4,19268.93,476.82,0,0.0,245.81,19843.84,36,Female,East,54
ORD_000648,CUST_00009,2024-05-11,Sports,1,13175.79,0.33,Net Banking,8,5,13175.79,4348.010700000001,8827.7793,4293.18,205.38,0,0.0,147.59,4181.63,40,Female,West,56
