customer_id,total_orders,total_revenue,total_profit,total_quantity,total_discount,total_shipping_cost,total_marketing_cost,total_return_cost,total_returns,avg_order_value,avg_profit_per_order,avg_satisfaction,avg_delivery_days,customer_age,customer_gender,region,customer_tenure_months,recency_days,profit_margin,return_rate,profitability_status,R_score,F_score,M_score,RFM_score,customer_segment,annual_purchase_frequency,expected_lifespan_years,predicted_clv,predicted_future_profit,future_value_segment,decision,business_decision
CUST_00001,6,179435.1234,69138.82,21,56574.1766,1239.13,1620.3600000000001,3775.06,1,29905.853900000002,11523.136666666667,2.6666666666666665,3.8333333333333335,56,Female,East,5,375,38.53137484453058,16.666666666666664,Profitable,1,4,4,9,At Risk Customer,14.399999999999999,1.0,165933.168,6212.505730659394,Low Future Value,Monitor,Retention Campaign
CUST_00002,3,19942.4568,6521.34,4,7535.0332,970.26,569.59,0.0,0,6647.4856,2173.78,3.6666666666666665,2.6666666666666665,46,Other,Central,2,166,32.70078539169758,0.0,Profitable,3,2,1,6,At Risk Customer,18.0,1.0,39128.04,6426.667303944306,Low Future Value,Monitor,Retention Campaign
CUST_00003,1,80470.8576,19204.55,4,15327.7824,264.84,105.83,14351.04,1,80470.8576,19204.55,1.0,7.0,32,Female,North,51,614,23.86522347687767,100.0,Profitable,1,1,2,4,At Risk Customer,0.23529411764705882,4.25,19204.55,6511.035830675646,Low Future Value,Monitor,Retention Campaign
CUST_00004,7,245089.3898,78490.58,24,61025.0802,1811.25,1334.32,0.0,0,35012.76997142857,11212.94,3.2857142857142856,4.571428571428571,60,Male,West,56,74,32.02528680007347,0.0,Profitable,4,5,5,14,VIP Customer,1.5,4.666666666666667,78490.58,15495.297909566267,High Future Value,Monitor,Growth Opportunity
CUST_00005,1,34991.1408,6616.24,2,4771.519200000001,278.41,89.42,6957.57,1,34991.1408,6616.24,5.0,3.0,25,Female,Central,20,554,18.90832893336247,100.0,Profitable,1,1,1,3,At Risk Customer,0.6,1.6666666666666667,6616.24,7669.156292975469,Low Future Value,Monitor,Retention Campaign
CUST_00006,3,169570.7284,75769.42,11,15761.0416,773.6500000000001,933.83,5351.99,1,56523.57613333333,25256.47333333333,2.6666666666666665,4.0,38,Male,East,34,27,44.68307750690773,33.33333333333333,Profitable,5,2,4,11,Loyal Customer,1.0588235294117647,2.8333333333333335,75769.42,18294.196664082225,High Future Value,Monitor,Retain & Upsell
CUST_00007,4,144123.9512,33880.64,13,18283.5788,748.49,1068.25,16994.65,1,36030.9878,8470.16,3.75,6.0,56,Male,West,34,152,23.50798719984024,25.0,Profitable,3,3,4,10,At Risk Customer,1.4117647058823528,2.8333333333333335,33880.64,9405.02787717472,Medium Future Value,Monitor,Retention Campaign
CUST_00008,8,316965.1964,126688.14,28,83947.4936,3052.55,2179.2200000000003,3269.15,1,39620.64955,15836.0175,2.5,5.0,36,Female,East,54,96,39.96910116280514,12.5,Profitable,4,5,5,14,VIP Customer,1.7777777777777777,4.5,126688.13999999997,12571.351606707049,High Future Value,Monitor,Growth Opportunity
CUST_00009,3,25478.9571,11182.2,3,9365.922900000001,987.85,705.94,0.0,0,8492.9857,3727.4,4.0,8.333333333333334,40,Female,West,56,298,43.887981584615176,0.0,Profitable,2,2,1,5,At Risk Customer,0.6428571428571428,4.666666666666667,11182.199999999999,8939.94926456619,Medium Future Value,Monitor,Retention Campaign
CUST_00010,4,133066.01450000002,42372.590000000004,11,22291.4055,1179.79,715.88,0.0,0,33266.503625000005,10593.147500000001,4.5,6.0,28,Female,East,55,403,31.843284823113116,0.0,Profitable,1,3,3,7,At Risk Customer,0.8727272727272728,4.583333333333333,42372.590000000004,7028.941508749443,Low Future Value,Monitor,Retention Campaign
